filename,emotion,category,rationale,polarity,subjectivity,annotator
wassily-kandinsky_black-and-violet-1923.jpg,disgust,MAX,There are a lot of objects that seem to be attacking each other in disgust.,,,annotator_28
wassily-kandinsky_black-and-violet-1923.jpg,disgust,MAX,The orange object is being strangled by the blue.,,,annotator_28
wassily-kandinsky_black-and-violet-1923.jpg,disgust,MAX,inspirational dreamlike art,,,annotator_100
esteban-vicente_untitled-1959.jpg,anger,MIN,Looks like the reflection of sunlight on a happy day.,,,annotator_285
esteban-vicente_untitled-1959.jpg,anger,MIN,It's too bright to cause anger,,,annotator_301
esteban-vicente_untitled-1959.jpg,anger,MAX,emerging design art,,,annotator_100
esteban-vicente_untitled-1959.jpg,anger,MAX,colors are bright,,,annotator_50
esteban-vicente_untitled-1959.jpg,anger,MAX,The bright fiery colors evoke a sense of rage,,,annotator_197
esteban-vicente_untitled-1959.jpg,anger,MAX,Red is a color of anger.,,,annotator_120
esteban-vicente_untitled-1959.jpg,anger,MAX,The fiery colors and random brush strokes convey a feeling of rage,,,annotator_197
esteban-vicente_untitled-1959.jpg,anger,MAX,"Orange and red are intense, angry colors.",,,annotator_28
esteban-vicente_untitled-1959.jpg,disgust,MIN,COLORFUL PAINT SPLITS,,,annotator_284
esteban-vicente_untitled-1959.jpg,disgust,MIN,"brightness,color and design",,,annotator_234
esteban-vicente_untitled-1959.jpg,disgust,MIN,The solid cleaner look.,,,annotator_218
esteban-vicente_untitled-1959.jpg,disgust,MIN,"the shapes seem to be more patient, colors aren't too mismatched",,,annotator_128
esteban-vicente_untitled-1959.jpg,disgust,MIN,the bright colors give more of a warm feeling,,,annotator_120
esteban-vicente_untitled-1959.jpg,disgust,MIN,looks like a wall with unfinished painting or patching,,,annotator_255
esteban-vicente_untitled-1959.jpg,disgust,MAX,The way the red and yellow shapes are placed reminds me of a rape.,,,annotator_28
esteban-vicente_untitled-1959.jpg,disgust,MAX,ROUGH STOKES AND COLOR,,,annotator_284
esteban-vicente_untitled-1959.jpg,disgust,MAX,a bit chaotic,,,annotator_319
esteban-vicente_untitled-1959.jpg,disgust,MAX,"The blue thing looks like an army tank rolling over things, or, combined with the red, looks like the elephant of the Republican Party, and that's a disgusting thing to me",,,annotator_260
esteban-vicente_untitled-1959.jpg,disgust,MAX,paint little collapse,,,annotator_280
esteban-vicente_untitled-1959.jpg,disgust,MAX,colorful expressive art,,,annotator_100
doug-ohlson_china-series-a-flamingo-1975.jpg,anger,MIN,simple without any design,,,annotator_234
doug-ohlson_china-series-a-flamingo-1975.jpg,anger,MIN,only one color,,,annotator_91
doug-ohlson_china-series-a-flamingo-1975.jpg,anger,MIN,simple without any design,,,annotator_234
doug-ohlson_china-series-a-flamingo-1975.jpg,anger,MIN,very boring aspect,,,annotator_280
doug-ohlson_china-series-a-flamingo-1975.jpg,anger,MAX,"When youre mad its said that youre ""seeing red""",,,annotator_79
doug-ohlson_china-series-a-flamingo-1975.jpg,anger,MAX,a field of wrathful red,,,annotator_32
doug-ohlson_china-series-a-flamingo-1975.jpg,anger,MAX,"just simple red, the others are not angry at all",,,annotator_123
doug-ohlson_china-series-a-flamingo-1975.jpg,anger,MAX,the stark red color,,,annotator_258
doug-ohlson_china-series-a-flamingo-1975.jpg,anger,MAX,feel very dark,,,annotator_280
doug-ohlson_china-series-a-flamingo-1975.jpg,anger,MAX,paint little collapse,,,annotator_280
doug-ohlson_china-series-a-flamingo-1975.jpg,anger,MAX,The strong block of pure red is like an angry shout.,,,annotator_181
doug-ohlson_china-series-a-flamingo-1975.jpg,anger,MAX,Bright solid red,,,annotator_24
doug-ohlson_china-series-a-flamingo-1975.jpg,anger,MAX,bright red colors,,,annotator_258
doug-ohlson_china-series-a-flamingo-1975.jpg,anger,MAX,the red color,,,annotator_258
doug-ohlson_china-series-a-flamingo-1975.jpg,fear,MIN,The plain and smooth red color makes me feel peaceful.,,,annotator_288
doug-ohlson_china-series-a-flamingo-1975.jpg,fear,MIN,"nice colour, calm",,,annotator_239
doug-ohlson_china-series-a-flamingo-1975.jpg,fear,MIN,BRIGHT COLOR MAKE ME LEAST FEAR,,,annotator_66
doug-ohlson_china-series-a-flamingo-1975.jpg,fear,MIN,the uniformity of the colors has a calming affect,,,annotator_215
doug-ohlson_china-series-a-flamingo-1975.jpg,fear,MIN,light and calm,,,annotator_239
doug-ohlson_china-series-a-flamingo-1975.jpg,fear,MIN,just a solid color,,,annotator_301
doug-ohlson_china-series-a-flamingo-1975.jpg,fear,MIN,The plain red is not intense at all. It’s very drab,,,annotator_43
doug-ohlson_china-series-a-flamingo-1975.jpg,fear,MIN,big area of simple color,,,annotator_290
doug-ohlson_china-series-a-flamingo-1975.jpg,fear,MIN,bright plain boring,,,annotator_306
doug-ohlson_china-series-a-flamingo-1975.jpg,fear,MIN,The red is soft and calming for its simplicity.,,,annotator_285
doug-ohlson_china-series-a-flamingo-1975.jpg,fear,MIN,devoid of skill,,,annotator_100
doug-ohlson_china-series-a-flamingo-1975.jpg,fear,MIN,Simple red square with no real rhyme or reason.,,,annotator_285
doug-ohlson_china-series-a-flamingo-1975.jpg,fear,MIN,no particular designs and pictures,,,annotator_234
doug-ohlson_china-series-a-flamingo-1975.jpg,fear,MAX,feel very dark,,,annotator_280
doug-ohlson_china-series-a-flamingo-1975.jpg,fear,MAX,feel very dark,,,annotator_280
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,anger,MIN,I dont see any emotion evoked in this painting,,,annotator_79
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,anger,MIN,it's mostly white,,,annotator_98
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,anger,MIN,its plain and white,,,annotator_258
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,anger,MIN,light color without any design,,,annotator_234
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,anger,MIN,IT LIKE A WHITE PAPER,,,annotator_284
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,anger,MIN,simple without any design,,,annotator_234
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,anger,MIN,Nothing but white canvas with paint on the edges.,,,annotator_285
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,anger,MIN,simple without any design,,,annotator_234
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,anger,MIN,just a plain white canvas,,,annotator_255
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,anger,MIN,simple without any design,,,annotator_234
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,anger,MIN,it's plain white,,,annotator_258
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,anger,MIN,simple without any design,,,annotator_234
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,anger,MIN,simple without any design,,,annotator_234
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,anger,MAX,Very bland and not stimulating to the mind.,,,annotator_285
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,anger,MAX,this is not art,,,annotator_271
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,disgust,MIN,simple without any design,,,annotator_234
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,disgust,MIN,The composition is blank and lacking in emotion.,,,annotator_197
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,disgust,MIN,simple without any design,,,annotator_234
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,disgust,MIN,"just white with frame, nice but no emotion",,,annotator_11
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,disgust,MIN,it seems pure and white,,,annotator_190
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,disgust,MIN,simple without any design,,,annotator_234
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,disgust,MIN,sheet of paper on copier,,,annotator_36
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,disgust,MIN,simple without any design,,,annotator_234
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,disgust,MIN,There's not much here to convey emotion,,,annotator_197
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,disgust,MIN,"I'm not sure what to say in this case, but to me, it just looks like a piece of paper.",,,annotator_33
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,disgust,MIN,simple without any design,,,annotator_234
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,disgust,MAX,The white and blue elements seem to be disgusted with the dark black background.  They are exploding.,,,annotator_28
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,disgust,MAX,"feels like it has been covered up, hidden from me",,,annotator_23
sam-francis_untitled-bright-ring-1-sfp68-55-1968.jpg,disgust,MAX,too plain to show disgust,,,annotator_24
walter-darby-bannard_hopewell-valley-sun-1959.jpg,anger,MIN,Peaceful hovering red disk doing no harm.,,,annotator_285
walter-darby-bannard_hopewell-valley-sun-1959.jpg,anger,MIN,unfinished art design,,,annotator_100
walter-darby-bannard_hopewell-valley-sun-1959.jpg,anger,MIN,LIKE JAPAN FLAG,,,annotator_284
walter-darby-bannard_hopewell-valley-sun-1959.jpg,anger,MIN,Looks like a bunch of graphs put together.,,,annotator_253
walter-darby-bannard_hopewell-valley-sun-1959.jpg,anger,MIN,Nothing more than a simple red circle.,,,annotator_285
walter-darby-bannard_hopewell-valley-sun-1959.jpg,anger,MIN,LIKE A JAPAN FLAG,,,annotator_284
walter-darby-bannard_hopewell-valley-sun-1959.jpg,anger,MIN,The composition doesn't evoke any feeling,,,annotator_197
walter-darby-bannard_hopewell-valley-sun-1959.jpg,anger,MIN,looks like a sun,,,annotator_255
walter-darby-bannard_hopewell-valley-sun-1959.jpg,anger,MIN,ITS SIMPLE RED CIRCLE,,,annotator_284
walter-darby-bannard_hopewell-valley-sun-1959.jpg,anger,MIN,Looks like a nice red polka dot,,,annotator_28
walter-darby-bannard_hopewell-valley-sun-1959.jpg,anger,MAX,Reminds me of WW II,,,annotator_303
walter-darby-bannard_hopewell-valley-sun-1959.jpg,anger,MAX,the color red,,,annotator_295
walter-darby-bannard_hopewell-valley-sun-1959.jpg,anger,MAX,"Reminds me of Mars, the angry red planet.",,,annotator_28
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MIN,red circle breaks up white background,,,annotator_310
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MIN,"The perfect red circle evokes unity, not disgust.",,,annotator_28
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MIN,i like the white background,,,annotator_258
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MIN,"The red sun reminds me of a peaceful sunset, nothing disgusting.",,,annotator_28
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MIN,Nothing disgusting about a pretty red sun.,,,annotator_28
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MIN,A bright simple piece to make you happy.,,,annotator_62
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MIN,"Though the picture consist of a big red circle, it does not make disgust",,,annotator_125
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MIN,Just a plain circle,,,annotator_24
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MIN,LIKE A JAPAN FLAG,,,annotator_284
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MIN,sun rising on a foggy day,,,annotator_316
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MIN,LIKE A JAPAN FLAG,,,annotator_284
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MIN,it's nice and clean,,,annotator_190
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MAX,blood red as if signifies a despire,,,annotator_290
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MAX,The projected red color reminds something bad,,,annotator_125
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MAX,"Reminds of Japan, WW2",,,annotator_28
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MAX,Looks like the chinese flag,,,annotator_55
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MAX,think like me or else,,,annotator_36
walter-darby-bannard_hopewell-valley-sun-1959.jpg,disgust,MAX,Reminds me of the Japanese oppression of Korean women.,,,annotator_28
jean-degottex_antee-iii-1956.jpg,anger,MIN,LIKE A CHINESE ART,,,annotator_284
jean-degottex_antee-iii-1956.jpg,anger,MAX,The paint is plastered as if done in a rage.,,,annotator_285
jean-degottex_antee-iii-1956.jpg,anger,MAX,The image creates a feeling of disorder and anarchy. It leads to inducing anger.,,,annotator_234
jean-degottex_antee-iii-1956.jpg,anger,MAX,very sharp shape and sudden color choice,,,annotator_290
jean-degottex_antee-iii-1956.jpg,anger,MAX,"the motion, and the figure looks almost like it is weilding a weapon",,,annotator_32
jean-degottex_antee-iii-1956.jpg,anger,MAX,evil sticks breaking,,,annotator_147
jean-degottex_antee-iii-1956.jpg,anger,MAX,looks like a sword cutting something,,,annotator_255
jean-degottex_antee-iii-1956.jpg,anger,MAX,The single tall branch seems to be at war with the other branches.,,,annotator_28
jean-degottex_antee-iii-1956.jpg,anger,MAX,The design is not attractive,,,annotator_125
jean-degottex_antee-iii-1956.jpg,anger,MAX,paint little collapse,,,annotator_280
jean-degottex_antee-iii-1956.jpg,anger,MAX,Looks like something was smashed apart in anger.,,,annotator_28
jean-degottex_antee-iii-1956.jpg,fear,MAX,"knife-like points, darkness",,,annotator_161
jean-degottex_antee-iii-1956.jpg,fear,MAX,"This feels like something breaking the surface of the water, ready to attack.",,,annotator_271
jean-degottex_antee-iii-1956.jpg,fear,MAX,merge of black color disgust me most,,,annotator_66
jean-degottex_antee-iii-1956.jpg,fear,MAX,paint little collapse,,,annotator_280
