filename,RGB1,RGB2,RGB3,RGB4,RGB5,RGB6
yves-klein_untitled-white-monochrome-1957-1.jpg,"[0.9333333333333333, 0.9137254901960784, 0.8627450980392157, 0.0, 36579965319461.12]","[0.9568627450980393, 0.9450980392156862, 0.9529411764705882, 0.0, 14489605365955.906]","[0.9568627450980393, 0.9568627450980393, 0.9686274509803922, 0.0, 53951739425929.11]","[0.9529411764705882, 0.9647058823529412, 0.9568627450980393, 0.0, 37170423725045.57]","[0.8392156862745098, 0.7725490196078432, 0.6313725490196078, 0.0, 24606668064051.016]","[0.803921568627451, 0.7294117647058823, 0.5882352941176471, 0.0, 29472106302838.598]"
rupprecht-geiger_621-71-1971.jpg,"[0.8745098039215686, 0.0, 0.5176470588235295, 0.0, 14178291268181.42]","[0.8313725490196079, 0.8313725490196079, 0.9019607843137255, 0.0, 12240797961857.69]","[0.8941176470588236, 0.796078431372549, 0.8823529411764706, 0.0, 67371130059772.29]","[0.8980392156862745, 0.22745098039215686, 0.5764705882352941, 0.0, 26788241743935.08]","[0.8980392156862745, 0.4823529411764706, 0.6862745098039216, 0.0, 223243310603698.9]","[0.8980392156862745, 0.6549019607843137, 0.792156862745098, 0.0, 114822675806296.84]"
ron-gorchov_old-flame-1974.jpg,"[0.788235294117647, 0.043137254901960784, 0.09411764705882353, 0.0, 20518629010044.082]","[0.8862745098039215, 0.8745098039215686, 0.8784313725490196, 0.0, 75240301244875.78]","[0.8980392156862745, 0.8823529411764706, 0.8705882352941177, 0.0, 51348916540787.75]","[0.8117647058823529, 0.12156862745098039, 0.16470588235294117, 0.0, 26937468713193.855]","[0.7490196078431373, 0.6274509803921569, 0.5803921568627451, 0.0, 21633275124536.547]","[0.6, 0.2784313725490196, 0.23921568627450981, 0.0, 118106110212632.64]"
morris-louis_seal-1959.jpg,"[0.22745098039215686, 0.15294117647058825, 0.1803921568627451, 0.0, 101359809236422.14]","[0.38823529411764707, 0.4117647058823529, 0.792156862745098, 0.0, 71030920661815.98]","[0.3803921568627451, 0.2980392156862745, 0.33725490196078434, 0.0, 70950234612819.16]","[0.2549019607843137, 0.15294117647058825, 0.1411764705882353, 0.0, 6310646274854.306]","[0.34509803921568627, 0.3137254901960784, 0.5058823529411764, 0.0, 501812829671.0706]","[0.3764705882352941, 0.30196078431372547, 0.2901960784313726, 0.0, 35528152518390.63]"
josef-ma_hot-air-balloon-1926.jpg,"[0.6549019607843137, 0.6901960784313725, 0.5333333333333333, 0.0, 121944978476435.05]","[0.6392156862745098, 0.7686274509803922, 0.5686274509803921, 0.0, 84657091076797.2]","[0.7019607843137254, 0.8, 0.6352941176470588, 0.0, 61248751723809.98]","[0.7294117647058823, 0.8, 0.6039215686274509, 0.0, 52652912417998.73]","[0.4470588235294118, 0.35294117647058826, 0.30980392156862746, 0.0, 36744420214865.79]","[0.9019607843137255, 0.8588235294117647, 0.6862745098039216, 0.0, 34908708835191.312]"
giorgio-cavallon_country-scene-1938.jpg,"[0.8549019607843137, 0.8705882352941177, 0.9058823529411765, 0.0, 88290670906521.75]","[0.9176470588235294, 0.8588235294117647, 0.9058823529411765, 0.0, 88035758408188.19]","[0.9098039215686274, 0.8549019607843137, 0.7764705882352941, 0.0, 76252941932900.48]","[0.7803921568627451, 0.6431372549019608, 0.4627450980392157, 0.0, 66136020172279.75]","[0.5529411764705883, 0.6666666666666666, 0.6352941176470588, 0.0, 44154954792820.625]","[0.8862745098039215, 0.807843137254902, 0.4588235294117647, 0.0, 29286516532387.246]"
leo-leuppi_befl-gelt-1949.jpg,"[0.10588235294117647, 0.10588235294117647, 0.10588235294117647, 0.0, 15799797825656.342]","[0.3607843137254902, 0.36470588235294116, 0.3607843137254902, 0.0, 15504625840744.773]","[0.8509803921568627, 0.8549019607843137, 0.8392156862745098, 0.0, 54432100393702.32]","[0.5568627450980392, 0.5568627450980392, 0.5529411764705883, 0.0, 21541304866140.285]","[0.10588235294117647, 0.10588235294117647, 0.11372549019607843, 0.0, 157103087253222.25]","[0.3607843137254902, 0.3607843137254902, 0.3686274509803922, 0.0, 15681899487120.918]"
giorgio-morandi_still-life-1962.jpg,"[0.8901960784313725, 0.9058823529411765, 0.8941176470588236, 0.0, 106417153431636.48]","[0.8941176470588236, 0.8941176470588236, 0.8784313725490196, 0.0, 10314799457716.066]","[0.8745098039215686, 0.8823529411764706, 0.8941176470588236, 0.0, 8628080106744.644]","[0.3333333333333333, 0.35294117647058826, 0.4470588235294118, 0.0, 56242172278495.28]","[0.3764705882352941, 0.3058823529411765, 0.2784313725490196, 0.0, 238910014176170.16]","[0.24705882352941178, 0.17254901960784313, 0.13333333333333333, 0.0, 16177739972742.168]"
clyfford-still_1950-k-no-1-1950.jpg,"[0.8745098039215686, 0.8509803921568627, 0.796078431372549, 0.0, 37611299333198.555]","[0.7686274509803922, 0.6941176470588235, 0.615686274509804, 0.0, 7344517865943.113]","[0.1843137254901961, 0.17647058823529413, 0.6196078431372549, 0.0, 48936389594552.57]","[0.8117647058823529, 0.7568627450980392, 0.6705882352941176, 0.0, 21261247656695.902]","[0.3254901960784314, 0.2823529411764706, 0.596078431372549, 0.0, 85552418971812.14]","[0.807843137254902, 0.3568627450980392, 0.12156862745098039, 0.0, 82406363232635.19]"
olivier-debre_blanche-variante-taches-rouges-de-royan-1981.jpg,"[0.7568627450980392, 0.8235294117647058, 0.807843137254902, 0.0, 33911602996797.566]","[0.5764705882352941, 0.7254901960784313, 0.807843137254902, 0.0, 190155211630203.38]","[0.7490196078431373, 0.8156862745098039, 0.8352941176470589, 0.0, 131681914878412.11]","[0.5372549019607843, 0.6941176470588235, 0.6, 0.0, 10910461989637.717]","[0.6980392156862745, 0.788235294117647, 0.7294117647058823, 0.0, 53755464242940.3]","[0.6745098039215687, 0.7803921568627451, 0.807843137254902, 0.0, 45711117123290.87]"
willi-baumeister_harps-1945.jpg,"[0.9490196078431372, 0.8666666666666667, 0.7490196078431373, 0.0, 25351543932550.574]","[0.19215686274509805, 0.15294117647058825, 0.12156862745098039, 0.0, 79202531959099.81]","[0.7647058823529411, 0.6666666666666666, 0.5490196078431373, 0.0, 31187350669623.066]","[0.8666666666666667, 0.7529411764705882, 0.6078431372549019, 0.0, 138727203109256.4]","[0.42745098039215684, 0.35294117647058826, 0.2823529411764706, 0.0, 119920006150403.75]","[0.1803921568627451, 0.1411764705882353, 0.15294117647058825, 0.0, 238681986490342.22]"
afro_untitled-1957.jpg,"[0.8549019607843137, 0.8549019607843137, 0.8274509803921568, 0.0, 22529406382545.594]","[0.6705882352941176, 0.6431372549019608, 0.596078431372549, 0.0, 5295095933841.22]","[0.8352941176470589, 0.8509803921568627, 0.8352941176470589, 0.0, 46039632328800.61]","[0.4117647058823529, 0.37254901960784315, 0.34509803921568627, 0.0, 37527904126628.93]","[0.5843137254901961, 0.6784313725490196, 0.6, 0.0, 17632906907939.414]","[0.18823529411764706, 0.17647058823529413, 0.16470588235294117, 0.0, 12711396217860.984]"
richards-ruben_untitled-1959.jpg,"[0.8784313725490196, 0.8431372549019608, 0.7529411764705882, 0.0, 24176037024328.246]","[0.7490196078431373, 0.6352941176470588, 0.4392156862745098, 0.0, 74432727427600.66]","[0.596078431372549, 0.37254901960784315, 0.23921568627450981, 0.0, 35171068606984.223]","[0.6313725490196078, 0.596078431372549, 0.2627450980392157, 0.0, 19646705815119.82]","[0.8431372549019608, 0.7764705882352941, 0.5725490196078431, 0.0, 13537741355004.21]","[0.7294117647058823, 0.403921568627451, 0.3137254901960784, 0.0, 76082492971066.92]"
pierre-tal-coat_composition-1954.jpg,"[0.9333333333333333, 0.8666666666666667, 0.8196078431372549, 0.0, 21172873164081.297]","[0.7725490196078432, 0.6470588235294118, 0.592156862745098, 0.0, 49707295357930.53]","[0.01568627450980392, 0.01568627450980392, 0.03529411764705882, 0.0, 41090034570644.05]","[0.6274509803921569, 0.25098039215686274, 0.1803921568627451, 0.0, 39090002208878.63]","[0.13725490196078433, 0.054901960784313725, 0.0392156862745098, 0.0, 31180184665264.58]","[0.058823529411764705, 0.03137254901960784, 0.047058823529411764, 0.0, 19360614301567.25]"
lee-krasner_seated-nude-1940.jpg,"[0.41568627450980394, 0.3803921568627451, 0.33725490196078434, 0.0, 14302003216809.906]","[0.6196078431372549, 0.592156862745098, 0.5019607843137255, 0.0, 10006009294850.14]","[0.19215686274509805, 0.16862745098039217, 0.1568627450980392, 0.0, 70881825498137.34]","[0.12941176470588237, 0.11372549019607843, 0.12156862745098039, 0.0, 52145744956992.65]","[0.5411764705882353, 0.5098039215686274, 0.43529411764705883, 0.0, 204991626100963.25]","[0.10196078431372549, 0.09803921568627451, 0.11372549019607843, 0.0, 55500045632712.37]"
alberto-burri_composition-1953.jpg,"[0.4196078431372549, 0.32941176470588235, 0.23137254901960785, 0.0, 32564959876062.19]","[0.27058823529411763, 0.2196078431372549, 0.17254901960784313, 0.0, 48044825872750.93]","[0.3058823529411765, 0.24705882352941178, 0.1803921568627451, 0.0, 13773442323517.148]","[0.611764705882353, 0.5019607843137255, 0.3333333333333333, 0.0, 226918041645157.75]","[0.7019607843137254, 0.6196078431372549, 0.4470588235294118, 0.0, 19872226795988.71]","[0.4392156862745098, 0.1803921568627451, 0.13333333333333333, 0.0, 4325926921575.7725]"
mark-rothko_red-1968.jpg,"[0.7607843137254902, 0.24705882352941178, 0.09019607843137255, 0.0, 157691893925244.47]","[0.15294117647058825, 0.14901960784313725, 0.14901960784313725, 0.0, 111320624647713.12]","[0.8196078431372549, 0.6392156862745098, 0.4823529411764706, 0.0, 6092097061936.416]","[0.8549019607843137, 0.7568627450980392, 0.6078431372549019, 0.0, 30762471044791.926]","[0.1568627450980392, 0.1450980392156863, 0.14901960784313725, 0.0, 25337223367589.39]","[0.8666666666666667, 0.7803921568627451, 0.6470588235294118, 0.0, 61236791403949.81]"
nicolas-de-sta-l_les-martigues-composition-1954.jpg,"[0.0196078431372549, 0.5490196078431373, 0.39215686274509803, 0.0, 136106195560832.45]","[0.7725490196078432, 0.24313725490196078, 0.1843137254901961, 0.0, 73131658931059.83]","[0.8235294117647058, 0.3215686274509804, 0.24705882352941178, 0.0, 65624960981440.22]","[0.996078431372549, 0.9921568627450981, 0.9921568627450981, 0.0, 51602872976757.62]","[0.00392156862745098, 0.4588235294117647, 0.3686274509803922, 0.0, 49533233975526.8]","[0.5607843137254902, 0.7647058823529411, 0.8274509803921568, 0.0, 16157940319481.129]"
conrad-marca-relli_trial-1956.jpg,"[0.9215686274509803, 0.8862745098039215, 0.7803921568627451, 0.0, 24355398658136.996]","[0.1803921568627451, 0.16862745098039217, 0.11764705882352941, 0.0, 57601289852811.16]","[0.6901960784313725, 0.6509803921568628, 0.5607843137254902, 0.0, 46935136786810.21]","[0.4117647058823529, 0.3843137254901961, 0.30980392156862746, 0.0, 29731139803401.465]","[0.8117647058823529, 0.7686274509803922, 0.6588235294117647, 0.0, 106214568055338.86]","[0.5450980392156862, 0.5137254901960784, 0.4235294117647059, 0.0, 37138529151713.74]"
herbert-zangs_untitled-1958.jpg,"[0.16862745098039217, 0.16862745098039217, 0.16862745098039217, 0.0, 3267654393162.639]","[0.2980392156862745, 0.2980392156862745, 0.29411764705882354, 0.0, 57366245481261.76]","[0.3411764705882353, 0.3254901960784314, 0.32941176470588235, 0.0, 36458720183116.22]","[0.2, 0.18823529411764706, 0.19215686274509805, 0.0, 25490488919557.34]","[0.1607843137254902, 0.1607843137254902, 0.16862745098039217, 0.0, 12206150568790.643]","[0.5686274509803921, 0.5607843137254902, 0.5490196078431373, 0.0, 60964198042596.67]"
max-weber_rush-hour.jpg,"[0.7215686274509804, 0.6470588235294118, 0.47843137254901963, 0.0, 97280024454544.03]","[0.21176470588235294, 0.14901960784313725, 0.10588235294117647, 0.0, 92962597166496.69]","[0.4549019607843137, 0.3686274509803922, 0.24705882352941178, 0.0, 9180553467453.047]","[0.09411764705882353, 0.11372549019607843, 0.13333333333333333, 0.0, 4560434110450.192]","[0.9098039215686274, 0.8666666666666667, 0.7450980392156863, 0.0, 3972696679522.3296]","[0.10588235294117647, 0.1450980392156863, 0.12156862745098039, 0.0, 24777398549801.64]"
marcel-barbeau_rosier-feuilles-1946.jpg,"[0.08627450980392157, 0.10196078431372549, 0.12549019607843137, 0.0, 14683722679532.953]","[0.1607843137254902, 0.14901960784313725, 0.11372549019607843, 0.0, 73556014850244.05]","[0.6705882352941176, 0.6196078431372549, 0.5568627450980392, 0.0, 57204914066213.01]","[0.41568627450980394, 0.3764705882352941, 0.3137254901960784, 0.0, 538357910977.17255]","[0.10980392156862745, 0.13333333333333333, 0.11764705882352941, 0.0, 41465069386257.88]","[0.8666666666666667, 0.8156862745098039, 0.7647058823529411, 0.0, 192578465493363.2]"
fernand-leger_propellers-2nd-state-1918.jpg,"[0.8823529411764706, 0.8784313725490196, 0.8235294117647058, 0.0, 10120339469005.33]","[0.09803921568627451, 0.13333333333333333, 0.10196078431372549, 0.0, 74105803174170.73]","[0.7333333333333333, 0.6901960784313725, 0.4627450980392157, 0.0, 6350365497011.439]","[0.13725490196078433, 0.12156862745098039, 0.07450980392156863, 0.0, 53059066468535.016]","[0.7764705882352941, 0.6549019607843137, 0.13725490196078433, 0.0, 52181845797055.445]","[0.5450980392156862, 0.3137254901960784, 0.17254901960784313, 0.0, 4810309764516.918]"
mark-rothko_orange-and-yellow(1).jpg,"[0.9372549019607843, 0.5411764705882353, 0.24313725490196078, 0.0, 28542871821796.043]","[0.9686274509803922, 0.7647058823529411, 0.21568627450980393, 0.0, 54166987722458.54]","[0.9215686274509803, 0.3843137254901961, 0.16470588235294117, 0.0, 52475787241680.72]","[0.7333333333333333, 0.43529411764705883, 0.23529411764705882, 0.0, 70650672826227.83]","[0.7490196078431373, 0.4627450980392157, 0.23137254901960785, 0.011764705882352941, 2954184289777.855, 0.0196078431372549]","[0, 0, 0]"
giulio-paolini_disegno-geometrico-1960.jpg,"[0.8627450980392157, 0.8509803921568627, 0.8196078431372549, 0.0, 36238591758171.92]","[0.6941176470588235, 0.6823529411764706, 0.6549019607843137, 0.0, 23668683478752.15]","[0.7647058823529411, 0.7568627450980392, 0.7215686274509804, 0.0, 31324665243709.34]","[0.44313725490196076, 0.4235294117647059, 0.4, 0.0, 19729116724733.043]","[0.9647058823529412, 0.9450980392156862, 0.9568627450980393, 0.0, 50052727420041.55]","[0.9019607843137255, 0.9098039215686274, 0.8980392156862745, 0.0, 49635621358207.87]"
theodoros-stamos_delphic-shibboleth-1959.jpg,"[0.25098039215686274, 0.37254901960784315, 0.4745098039215686, 0.0, 2495007027355.404]","[0.8980392156862745, 0.8666666666666667, 0.8117647058823529, 0.0, 75029839492272.16]","[0.4392156862745098, 0.43137254901960786, 0.41568627450980394, 0.0, 31197625914767.82]","[0.5647058823529412, 0.6274509803921569, 0.6627450980392157, 0.0, 178402970086120.34]","[0.6431372549019608, 0.6823529411764706, 0.6627450980392157, 0.0, 9668953515762.805]","[0.6549019607843137, 0.6549019607843137, 0.6235294117647059, 0.0, 89194440781428.39]"
john-ferren_composition-brun-1933.jpg,"[0.17647058823529413, 0.14901960784313725, 0.13725490196078433, 0.0, 34689083109992.945]","[0.4549019607843137, 0.3137254901960784, 0.22745098039215686, 0.0, 15655395079698.977]","[0.7098039215686275, 0.6745098039215687, 0.6196078431372549, 0.0, 116630834033177.83]","[0.8392156862745098, 0.8117647058823529, 0.7686274509803922, 0.0, 88175944923948.23]","[0.16862745098039217, 0.1411764705882353, 0.14901960784313725, 0.0, 56061932594190.44]","[0.1450980392156863, 0.1568627450980392, 0.1450980392156863, 0.0, 3523765410337.9453]"
willi-baumeister_colored-ideogram-1939.jpg,"[0.9254901960784314, 0.8588235294117647, 0.788235294117647, 0.0, 20633865469186.793]","[0.16862745098039217, 0.3764705882352941, 0.44313725490196076, 0.0, 61181847798575.875]","[0.09803921568627451, 0.21176470588235294, 0.28627450980392155, 0.0, 53604869591393.12]","[0.023529411764705882, 0.3607843137254902, 0.43137254901960786, 0.0, 28530517544703.152]","[0.796078431372549, 0.6274509803921569, 0.5333333333333333, 0.0, 27074725749944.496]","[0.8901960784313725, 0.30196078431372547, 0.2549019607843137, 0.0, 1542624736861.3452]"
karl-otto-gotz_smolbeck-1956.jpg,"[0.9215686274509803, 0.9137254901960784, 0.8823529411764706, 0.0, 17221717856404.564]","[0.050980392156862744, 0.09411764705882353, 0.11764705882352941, 0.0, 101560729489387.28]","[0.8470588235294118, 0.8705882352941177, 0.8588235294117647, 0.0, 3885350789064.8667]","[0.6039215686274509, 0.6470588235294118, 0.6352941176470588, 0.0, 31263141594408.16]","[0.3411764705882353, 0.396078431372549, 0.3843137254901961, 0.0, 2679697850949.2705]","[0.09411764705882353, 0.1411764705882353, 0.13333333333333333, 0.0, 21465326697115.586]"
larry-zox_untitled-1964.jpg,"[0.5529411764705883, 0.2901960784313726, 0.3254901960784314, 0.0, 15542035009463.674]","[0.8156862745098039, 0.5411764705882353, 0.25882352941176473, 0.0, 82087706573963.7]","[0.7529411764705882, 0.3803921568627451, 0.1411764705882353, 0.0, 81123276551289.78]","[0.807843137254902, 0.5137254901960784, 0.13725490196078433, 0.0, 6126582584714.961]","[0.788235294117647, 0.40784313725490196, 0.23529411764705882, 0.0, 6453508016129.847]","[0.9176470588235294, 0.8666666666666667, 0.792156862745098, 0.0, 58061956619283.734]"
bice-lazzari_red-and-white-signals-1930(2).jpg,"[0.6823529411764706, 0.6431372549019608, 0.5686274509803921, 0.0, 30772225079572.848]","[0.4588235294117647, 0.37254901960784315, 0.28627450980392155, 0.0, 66616182873082.805]","[0.5647058823529412, 0.5098039215686274, 0.40784313725490196, 0.0, 133664550056465.11]","[0.7803921568627451, 0.7529411764705882, 0.6941176470588235, 0.0, 29702478306904.37]","[0.2823529411764706, 0.2235294117647059, 0.1803921568627451, 0.0, 107196658726016.14]","[0.29411764705882354, 0.25098039215686274, 0.18823529411764706, 0.0, 40975965268962.1]"
karl-otto-gotz_untitled-1958.jpg,"[0.8784313725490196, 0.8392156862745098, 0.8156862745098039, 0.0, 21692080341900.23]","[0.20392156862745098, 0.16470588235294117, 0.15294117647058825, 0.0, 5077748170509.055]","[0.7568627450980392, 0.611764705882353, 0.596078431372549, 0.0, 41826038918690.09]","[0.8235294117647058, 0.5490196078431373, 0.5647058823529412, 0.0, 31472729821575.11]","[0.18823529411764706, 0.13725490196078433, 0.1450980392156863, 0.0, 29641438059950.008]","[0.4, 0.3333333333333333, 0.3215686274509804, 0.0, 21518370820789.953]"
georgia-o-keeffe_blue-02.jpg,"[0.8901960784313725, 0.8352941176470589, 0.6784313725490196, 0.0, 20672236505938.406]","[0.09803921568627451, 0.1450980392156863, 0.23921568627450981, 0.0, 52909827898770.85]","[0.2901960784313726, 0.396078431372549, 0.4588235294117647, 0.0, 4268812788273.204]","[0.8392156862745098, 0.792156862745098, 0.6352941176470588, 0.0, 41010331258009.27]","[0.6196078431372549, 0.6627450980392157, 0.6352941176470588, 0.0, 32790444112867.82]","[0.4980392156862745, 0.5725490196078431, 0.6, 0.0, 16035766533333.98]"
gillian-ayres_abstract-composition-1972.jpg,"[0.5568627450980392, 0.6274509803921569, 0.7019607843137254, 0.0, 147784802524378.0]","[0.2980392156862745, 0.396078431372549, 0.49019607843137253, 0.0, 97446109829263.92]","[0.6705882352941176, 0.6313725490196078, 0.5490196078431373, 0.0, 47281676987206.46]","[0.5725490196078431, 0.6509803921568628, 0.611764705882353, 0.0, 38750412466848.61]","[0.3176470588235294, 0.4235294117647059, 0.3803921568627451, 0.0, 32457142345032.27]","[0.4588235294117647, 0.403921568627451, 0.3254901960784314, 0.0, 28436718592368.74]"
frank-lobdell_1-august-1948-1948.jpg,"[0.21176470588235294, 0.12549019607843137, 0.09411764705882353, 0.0, 27318518054460.008]","[0.49411764705882355, 0.32941176470588235, 0.2784313725490196, 0.0, 44572556233608.31]","[0.7019607843137254, 0.5647058823529412, 0.5098039215686274, 0.0, 3158498234942.9097]","[0.6078431372549019, 0.4392156862745098, 0.4235294117647059, 0.0, 1624811225744.1099]","[0.9450980392156862, 0.796078431372549, 0.7294117647058823, 0.0, 135808305023127.52]","[0.3686274509803922, 0.1843137254901961, 0.15294117647058825, 0.0, 129852008577066.89]"
